"SNAME","CNAME","DNAME","API13","API12","SD_SIG","EL_SIG","MEALS","YR_RND","ACS_K3","ACS_46","ENROLL","PCST_E28","alreadyInRIF","aiRIFtxt","mealsQuant","pcst_e28Quant","letter","LAT","LONG"
"AVESON SCHOOL OF LEADERS","LOS ANGELES","PASADENA UNIFIED",826,"826","NO","NO",15,"NO","23","23",235,110.88,0,"No",0,1,"N","34.191976","-118.111955"
"BADEN-POWELL ELEMENTARY","ORANGE","MAGNOLIA ELEMENTARY",837,"838","YES","YES",99,"NO","21","23",482,211.2,0,"No",3,4,"Out","33.822009","-117.990055"
"BADILLO ELEMENTARY","LOS ANGELES","CHARTER OAK UNIFIED",816,"831","YES","YES",62,"NO","23","29",323,144.48,0,"No",1,2,"K","34.08747","-117.854301"
"BAKER ELEMENTARY","LOS ANGELES","MOUNTAIN VIEW ELEMENTARY",752,"770","YES","YES",2,"NO","30","28",465,214.08,0,"No",0,4,"Out","34.06636","-118.015577"
"BALBOA ELEMENTARY","LOS ANGELES","GLENDALE UNIFIED",900,"906","YES","YES",56,"NO","23","36",444,198.24,0,"No",1,4,"Out","34.180264","-118.285645"
"BALBOA GIFTED/HIGH ABILITY MAGNET ELEMEN","LOS ANGELES","LOS ANGELES UNIFIED",981,"984","YES","NO",22,"NO","24","34",649,311.04,0,"No",0,4,"Out","34.248511","-118.503126"
"BALDWIN ACADEMY","LOS ANGELES","HACIENDA LA PUENTE UNIFIED",830,"857","YES","YES",91,"NO","20","30",505,229.92,0,"No",2,4,"Out","34.048201","-117.942793"
"BALDWIN HILLS ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",863,"869","YES","NO",71,"NO","18","30",285,133.92,0,"No",1,2,"K","34.0225","-118.365291"
"BALDWIN STOCKER ELEMENTARY","LOS ANGELES","ARCADIA UNIFIED",971,"977","NO","YES",10,"NO","27","32",431,200.64,0,"No",0,4,"Out","34.11795","-118.046815"
"BANDINI ELEMENTARY","LOS ANGELES","MONTEBELLO UNIFIED",779,"800","YES","YES",100,"NO","28","32",286,129.12,0,"No",3,2,"C","34.005858","-118.167795"
"BANDINI STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",808,"828","YES","YES",100,"NO","21","22",249,110.4,0,"No",3,1,"B","33.74643","-118.299801"
"BARACK OBAMA CHARTER","LOS ANGELES","SBE - BARACK OBAMA CHARTER",755,"751","YES","NO",91,"NO","30","31",198,91.2,0,"No",2,0,"E","33.927675","-118.244365"
"BARBARA BENSON ELEMENTARY","ORANGE","TUSTIN UNIFIED",859,"863","YES","YES",49,"NO","26","24",261,117.12,0,"No",1,1,"J","33.75094","-117.804731"
"BARFIELD ELEMENTARY","LOS ANGELES","POMONA UNIFIED",733,"740","YES","YES",96,"NO","29","32",257,118.08,0,"No",3,1,"B","34.082954","-117.73715"
"BARRANCA ELEMENTARY","LOS ANGELES","COVINA-VALLEY UNIFIED",843,"863","YES","YES",68,"NO","22","26",408,181.44,0,"No",1,4,"Out","34.07674","-117.882451"
"BARREL SPRINGS ELEMENTARY","LOS ANGELES","PALMDALE ELEMENTARY",789,"801","YES","YES",83,"NO","28","25",618,268.8,0,"No",2,4,"Out","34.543507","-118.06641"
"BARTON (CLARA) ELEMENTARY","ORANGE","ANAHEIM CITY",815,"825","YES","YES",79,"NO","29","29",497,217.44,0,"No",2,4,"Out","33.82299","-117.951461"
"BARTON ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",716,"754","YES","YES",91,"NO","27","30",454,202.56,0,"No",2,4,"Out","33.84668","-118.178271"
"BARTON HILL ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",763,"779","YES","YES",99,"NO","21","27",510,232.32,0,"No",3,4,"Out","33.74646","-118.288981"
"BASSETT STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",780,"785","YES","YES",99,"NO","23","29",519,236.64,0,"No",3,4,"Out","34.19526","-118.477631"
"BATHGATE ELEMENTARY","ORANGE","CAPISTRANO UNIFIED",918,"921","NO","NO",9,"NO","23","32",442,206.88,0,"No",0,4,"Out","33.58046","-117.648711"
"BAY LAUREL ELEMENTARY","LOS ANGELES","LAS VIRGENES UNIFIED",914,"892","NO","NO",3,"NO","19","24",426,200.16,0,"No",0,4,"Out","34.14085","-118.652867"
"BEACHY AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",750,"752","YES","YES",85,"NO","24","24",377,169.44,0,"No",2,4,"Out","34.24734","-118.438911"
"BEARDSLEE ELEMENTARY","LOS ANGELES","DUARTE UNIFIED",825,"814","YES","YES",93,"NO","21","27",260,117.6,0,"No",3,1,"B","34.128506","-117.979434"
"BECKFORD CHARTER FOR ENRICHED STUDIES","LOS ANGELES","LOS ANGELES UNIFIED",933,"924","YES","NO",22,"NO","22","29",370,173.28,0,"No",0,4,"Out","34.26699","-118.549041"
"BEECHWOOD ELEMENTARY","ORANGE","FULLERTON ELEMENTARY",955,"962","NO","NO",8,"NO","26","34",686,323.52,0,"No",0,4,"Out","33.90162","-117.914901"
"BEETHOVEN STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",890,"901","YES","YES",61,"NO","23","28",213,98.4,0,"No",1,0,"I","34.002094","-118.443267"
"BELL GARDENS ELEMENTARY","LOS ANGELES","MONTEBELLO UNIFIED",724,"715","YES","YES",100,"NO","32","33",788,359.52,0,"No",3,4,"Out","33.959249","-118.167788"
"BELLA VISTA ELEMENTARY","LOS ANGELES","MONTEBELLO UNIFIED",725,"731","YES","YES",82,"NO","30","29",502,225.6,0,"No",2,4,"Out","34.034845","-118.137807"
"BELLINGHAM ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",733,"B","NO","NO",94,"NO","23","27",303,126.24,1,"Yes",3,1,"B","34.19296","-118.398371"
"BELVEDERE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",713,"732","YES","YES",100,"NO","22","29",621,285.6,0,"No",3,4,"Out","34.03522","-118.186381"
